efector;fechaGasto;periodo;numero_comprobante_gasto;codigogasto;efector_sesion;monto;concepto
G07111;2014-11-04;2014-11;;2.3;;2000.00;
G07111;2014-11-04;2014-11;;2.3;;1500.00;
G07111;2014-11-04;2014-11;;2.3;;1600.00;
G07111;2014-11-04;2014-11;;2.3;;1500.00;
G07111;2014-11-04;2014-11;;2.3;;2000.00;
G07111;2014-11-04;2014-11;;2.3;;1500.00;
G07111;2014-11-04;2014-11;;2.3;;1500.00;
G07111;2014-11-04;2014-11;;2.3;;1500.00;
G07111;2014-11-04;2014-11;;2.3;;1500.00;
G07111;2014-11-04;2014-11;;2.3;;1500.00;
G07111;2014-11-04;2014-11;;2.3;;3000.00;
G07111;2014-11-04;2014-11;;2.3;;3100.00;
G07111;2014-11-04;2014-11;;2.3;;1500.00;
G07111;2014-11-04;2014-11;;2.3;;375.00;
G07111;2014-11-04;2014-11;;2.3;;1500.00;
G07111;2014-11-04;2014-11;;2.3;;3000.00;
G07111;2014-11-04;2014-11;;2.3;;1500.00;
G07111;2014-11-05;2014-11;;2.3;;975.00;
G07111;2014-11-05;2014-11;;2.3;;1500.00;
G07111;2014-11-05;2014-11;;2.3;;1500.00;
G07111;2014-11-05;2014-11;;3.1;;1100.00;
G07111;2014-11-17;2014-11;;3.1;;7968.00;
G07111;2014-11-20;2014-11;;3.1;;1503.07;
G07111;2014-11-21;2014-11;;3.1;;1849.68;
G07111;2014-11-05;2014-11;;3.2;;1940.00;
G07111;2014-11-05;2014-11;;3.2;;1170.00;
G07111;2014-11-05;2014-11;;3.2;;1934.81;
G07111;2014-11-19;2014-11;;3.2;;1923.11;
G07111;2014-11-19;2014-11;;3.2;;1920.60;
G07111;2014-11-07;2014-11;;3.2;;1881.50;
G07111;2014-11-07;2014-11;;3.2;;1983.47;
G07111;2014-11-13;2014-11;;3.2;;2000.00;
G07111;2014-11-13;2014-11;;3.2;;1585.00;
G07111;2014-11-17;2014-11;;3.2;;3095.31;
G07111;2014-11-19;2014-11;;3.2;;1934.81;
G07111;2014-11-19;2014-11;;3.2;;1891.50;
G07111;2014-11-19;2014-11;;3.2;;1955.10;
G07111;2014-11-20;2014-11;;3.2;;1997.50;
G07111;2014-11-21;2014-11;;3.2;;1955.10;
G07111;2014-11-21;2014-11;;3.2;;1488.95;
G07111;2014-11-21;2014-11;;3.2;;1940.00;
G07111;2014-11-21;2014-11;;3.2;;1535.00;
G07111;2014-11-21;2014-11;;3.2;;1929.17;
G07111;2014-11-21;2014-11;;3.2;;1940.00;
G07111;2014-11-26;2014-11;;3.2;;2904.00;
G07111;2014-11-04;2014-11;;5.2;;1500.00;
G07111;2014-11-04;2014-11;;5.2;;1400.00;
G07111;2014-11-17;2014-11;;5.2;;4130.26;
G07111;2014-11-19;2014-11;;5.2;;1600.00;
G07111;2014-11-20;2014-11;;5.1;;2985.66;
